state,year,population,violent_total,murder,rape,robbery,aggravated_assault,property_total,burglary,larceny ,vehicle_theft,unemployment
AL,1976,3665000,388.8,15.1,21.7,96,256,3419.5,1170,1987.2,262.3,6.808
AL,1977,3690000,414.4,14.2,25.2,96.8,278.3,3298.2,1135.5,1881.9,280.7,7.325
AL,1978,3742000,419.1,13.3,25.5,99.1,281.2,3519.7,1229.3,1987.9,302.5,6.38
AL,1979,3769000,413.3,13.2,27.5,109.5,263.1,3830.5,1287.3,2223.2,320.1,7.158
AL,1980,3861466,448.5,13.2,30,132.1,273.2,4485.1,1526.7,2642.2,316.2,8.867
AL,1981,3916000,470.5,11.9,26.1,126.5,306.1,4428.3,1450.7,2693.3,284.2,10.542
AL,1982,3943000,447.7,10.6,26,112,299.1,4185.8,1256.2,2656.4,273.3,14.1
AL,1983,3959000,416,9.2,23.5,98.4,284.9,3685,1073.1,2381.4,230.5,13.808
AL,1984,3990000,431.2,9.4,25.1,96.1,300.6,3470.9,1001.8,2235.5,233.6,11.008
AL,1985,4021000,457.5,9.8,26.8,105.4,315.5,3484.6,1034.9,2191.2,258.5,9.167
AL,1986,4053000,558,10.1,28.4,111.6,407.9,3730.3,1159,2304.4,267,9.7
AL,1987,4083000,559.2,9.3,27.8,112.2,409.9,3892.2,1198.3,2431.1,262.8,8.083
AL,1988,4127000,558.6,9.9,29.8,117.8,401.2,4003.1,1233.8,2502.6,266.7,7.208
AL,1989,4118000,590.8,10.2,31,133.9,415.7,4037,1146.8,2592.8,297.5,7.042
AL,1990,4040587,708.6,11.6,32.6,143.7,520.7,4206.7,1103.4,2755.4,347.8,6.767
AL,1991,4089000,844.2,11.5,35.6,152.8,644.4,4521.4,1268.6,2889.5,363.4,7.342
AL,1992,4136000,871.7,11,41.2,164.9,654.6,4396.4,1186,2848.2,362.3,7.567
AL,1993,4187000,780.4,11.6,35.1,159.5,574.3,4098.4,1088.6,2672,337.8,7.333
AL,1994,4219000,683.7,11.9,35.2,171.2,465.3,4219.4,1044.4,2843.1,331.8,6.217
AL,1995,4253000,632.4,11.2,31.7,185.8,403.7,4215.7,1024.8,2844.3,346.6,5.975
AL,1996,4273000,565.4,10,33,167,356,4254.7,1002.1,2886.7,366,5.233
AL,1997,4319000,564.5,9.9,32.3,160.5,361.8,4325.3,1013.8,2954.8,356.7,4.992
AL,1998,4352000,512.1,8.1,33.2,130.9,339.9,4085,964.3,2779,341.7,4.408
AL,1999,4369862,490.2,7.9,34.6,121.2,326.5,3922.3,884.4,2737.3,300.6,4.733
AL,2000,4447100,486.2,7.4,33.3,128.2,317.2,4059.7,906.9,2864.8,288,4.583
AL,2001,4468912,438.2,8.5,30.6,125,274.1,3876.8,909.4,2685,282.4,5.125
AL,2002,4478896,445,6.8,37.2,133.1,268,4027.8,950.6,2767,310.1,5.9
AL,2003,4503726,429.2,6.6,36.8,134.1,251.7,4046.4,960.2,2754.1,332.1,6.017
AL,2004,4525375,427,5.6,38.5,133.5,249.4,4029.3,987,2732.4,309.9,5.683
AL,2005,4548327,433,8.2,34.4,141.7,248.3,3900,955.8,2656,289,4.492
AL,2006,4599030,425.2,8.3,35.8,153.6,227.5,3941,973.7,2640.8,326.5,4.033
AL,2007,4627851,448.9,8.9,33.4,159.9,246.7,3977.7,980.6,2689.5,307.7,3.983
AL,2008,4661900,452.8,7.5,34.7,157.6,253,4084.5,1081.3,2714.3,288.9,5.658
AL,2009,4708708,450.1,6.8,31.9,133.1,278.3,3780.4,1037.3,2507.5,235.5,11.033
AL,2010,4785401,383.7,5.7,28.3,101.6,248,3528,887.8,2414.9,225.3,10.542
AL,2011,4803689,419.8,6.2,28.5,102.1,282.9,3605.4,1064.2,2319.3,222,9.642
AL,2012,4817528,450.3,7.1,26.9,104.2,312.1,3505.5,985.6,2314.9,205,7.942
AL,2013,4833996,431,7.2,30,96.1,285.2,3347.9,877.3,2252,218.5,7.217
AL,2014,4849377,427.4,5.7,29.6,96.9,283.4,3177.6,819,2149.5,209.1,6.783
AK,1976,382000,540.1,11.3,46.9,124.9,357.1,5680.6,1218.1,3656.8,805.8,7.608
AK,1977,407000,443.2,10.8,51.6,96.8,284,5454.8,1331.7,3369.8,753.3,9.875
AK,1978,403000,441.9,12.9,55.6,91.3,282.1,5604.2,1339.2,3603.5,661.5,10.683
AK,1979,406000,491.1,13.3,71.9,109.6,296.3,5712.6,1383.3,3713.3,616,9.317
AK,1980,440142,436,8.9,56.8,81.8,288.5,5209.7,1259.8,3388.9,561,9.625
AK,1981,412000,615.8,14.6,102.2,114.6,384.5,5979.1,1329.9,3958.7,690.5,9.383
AK,1982,438000,623.7,18.5,85.4,133.8,386.1,5588.8,1188.1,3806.4,594.3,9.942
AK,1983,479000,613.8,13.8,101.5,97.1,401.5,5404.8,1194.2,3566.8,643.8,9.975
AK,1984,5.00E+05,621.6,11.6,91.6,109.4,409,5493.6,1236.8,3628,628.8,9.867
AK,1985,521000,581.8,9.8,77.2,92.9,401.9,5295.2,1191.7,3497.1,606.3,9.717
AK,1986,534000,570.4,8.6,72.7,88,401.1,5675.5,1161.8,3909.9,603.7,10.95
AK,1987,525000,455.4,10.1,65,73.1,307.2,4922.1,970.1,3465.7,486.3,10.283
AK,1988,513000,522.8,5.7,57.7,72.9,386.5,4398.8,842.3,3101.6,455,8.808
AK,1989,527000,497.7,8,52.9,67.6,369.3,4282.2,826.9,3000.2,455,7.033
AK,1990,550043,524.5,7.5,72.9,76.7,367.4,4628.2,894.3,3168.5,565.4,7.242
AK,1991,570000,613.9,7.4,91.8,113.2,401.6,5087.7,979.3,3574.6,533.9,8.475
AK,1992,587000,660.5,7.5,98.6,109,445.3,4909,880.7,3531.2,497.1,8.933
AK,1993,599000,760.8,9,83.8,122.4,545.6,4807.2,816.9,3539.4,450.9,7.692
AK,1994,606000,766.3,6.3,69,146.2,544.9,4941.7,800,3601.3,540.4,7.608
AK,1995,604000,770.9,9.1,80.3,155.1,526.3,4982.9,836.9,3624.3,521.7,7.325
AK,1996,607000,727.7,7.4,65.6,117,537.7,4722.7,843.2,3386.7,492.9,7.608
AK,1997,609000,701.1,8.9,66.2,106.4,519.7,4571.4,702.1,3412.2,457.1,7.15
