state,year,value
AL,1976,7.9
AL,1976,7.7
AL,1976,6.1
AL,1976,5.7
AL,1976,5.2
AL,1976,7.7
AL,1976,7.3
AL,1976,7.3
AL,1976,6.8
AL,1976,6.6
AL,1976,6.8
AL,1976,6.6
AL,1977,7.5
AL,1977,9
AL,1977,7.7
AL,1977,7.2
AL,1977,6.8
AL,1977,8.6
AL,1977,8
AL,1977,7.8
AL,1977,6.7
AL,1977,6.3
AL,1977,6.3
AL,1977,6
AL,1978,7.1
AL,1978,6.9
AL,1978,6.2
AL,1978,5.4
AL,1978,5.1
AL,1978,6.9
AL,1978,6.7
AL,1978,6.7
AL,1978,6.5
AL,1978,6.3
AL,1978,6.3
AL,1978,6.5
AL,1979,6.7
AL,1979,7.5
AL,1979,6.9
AL,1979,6.6
AL,1979,6.4
AL,1979,8.4
AL,1979,7.7
AL,1979,7.8
AL,1979,7.1
AL,1979,7.2
AL,1979,6.9
AL,1979,6.7
AL,1980,7.7
AL,1980,7.8
AL,1980,7.4
AL,1980,7.4
AL,1980,8.4
AL,1980,9.7
AL,1980,10.4
AL,1980,10.3
AL,1980,9.3
AL,1980,9.6
AL,1980,9.4
AL,1980,9
AL,1981,10
AL,1981,10.3
AL,1981,9.5
AL,1981,9.1
AL,1981,9.4
AL,1981,11.1
AL,1981,10.4
AL,1981,10.9
AL,1981,10.8
AL,1981,11.7
AL,1981,11.5
AL,1981,11.8
AL,1982,13.2
AL,1982,13.2
AL,1982,12.9
AL,1982,12.6
AL,1982,12.8
AL,1982,14.5
AL,1982,14.7
AL,1982,14.8
AL,1982,14.7
AL,1982,15.1
AL,1982,15.4
AL,1982,15.3
AL,1983,16
AL,1983,16
AL,1983,14.5
AL,1983,13.7
AL,1983,13.3
AL,1983,14.6
AL,1983,13.9
AL,1983,13.8
AL,1983,13.2
AL,1983,12.8
AL,1983,12.1
AL,1983,11.8
AL,1984,12.5
AL,1984,12.4
AL,1984,11.4
AL,1984,10.8
AL,1984,10.1
AL,1984,11.3
AL,1984,11.5
AL,1984,11.3
AL,1984,10.8
AL,1984,10.2
AL,1984,9.7
AL,1984,10.1
AL,1985,10.7
AL,1985,10.5
AL,1985,9.8
AL,1985,8.7
AL,1985,8.4
AL,1985,9.6
AL,1985,9.2
AL,1985,8.8
AL,1985,8.6
AL,1985,8.6
AL,1985,8.4
AL,1985,8.7
AL,1986,9.3
AL,1986,10.4
AL,1986,10.1
AL,1986,9.4
AL,1986,9.4
AL,1986,10.5
AL,1986,9.7
AL,1986,9.6
AL,1986,9.7
AL,1986,9.7
AL,1986,9.6
AL,1986,9
